country_name,continent_name,no_formal_ed,some_formal_ed,median_salary,average_salary,lowest_salary,highest_salary,med_sal_over_some_formal
Burkina Faso,Africa,64,36,485.02,534.97,135.03,2384.83,13.47278
Algeria,Africa,13,87,1148.84,1308.81,330.11,5824.18,13.20506
Tanzania,Africa,12,88,457.77,505.54,126.98,2245.08,5.20193
Equatorial Guinea,Africa,6,94,671.94,773.46,194.98,3432.22,7.1483
Tunisia,Africa,16,84,1088.33,1239.75,312.3,5520.5,12.95631
Ethiopia,Africa,38,62,143.88,160.41,40.42,713.13,2.32065
Uganda,Africa,15,85,645.21,698.31,176.04,3106.55,7.59071
Zambia,Africa,5,95,0.26133504,0.28552394,0.072092424,1.2711033,0.00275
Mauritius,Africa,4,96,901.53,1047.66,263.04,4653.78,9.39094
Morocco,Africa,34,66,1634.24,1896.89,477.63,8433.85,24.76121
Gabon,Africa,5,95,800.85,894.31,225.59,3980.08,8.43
Gambia,Africa,31,69,223.7,246.84,62.02,1095.34,3.24203
Kenya,Africa,6,94,863.29,991.43,250.22,4424.36,9.18394
Ghana,Africa,29,71,373.82,438.42,110.25,1946.6,5.26507
Benin,Africa,41,59,488.25,549.48,138.58,2449.28,8.27542
Guinea,Africa,58,42,696.71,817.87,206.22,3634.99,16.58833
Mali,Africa,70,30,478.58,533.36,134.55,2368.71,15.95267
Guinea-Bissau,Africa,41,59,475.35,551.09,139.06,2449.28,8.05678
Lesotho,Africa,6,94,540.54,625.33,157.39,2776.89,5.75043
Mozambique,Africa,54,46,549.81,631.27,159.77,2803.88,11.95239
Namibia,Africa,7,93,821.41,927.4,233.7,4128.25,8.83237
Burundi,Africa,34,66,384.78,420.08,105.55,1863.89,5.83
Niger,Africa,67,33,480.19,547.87,137.93,2433.17,14.55121
Cameroon,Africa,12,88,633.27,744.45,186.92,3303.31,7.19625
Nigeria,Africa,23,77,389.85,438.91,110.63,1949.27,5.06299
Cape Verde,Africa,9,91,1706.29,1965.11,495.59,8742.33,18.75044
Central African Republic,Africa,21,79,621.99,699.33,175.64,3109.94,7.87329
